date,variant,symbol,name,weight,state,state_code,upside,fair_price,close,factor,side
2025-08-29,B,603391,力聚热能,0.2,观察,watch,1.5,112.03789544529317,50.24,1.5,long
2025-08-29,B,002187,广百股份,-0.2,观察,watch,-0.8,0.5101346077986084,5.21,-0.8,short
2025-08-29,B,002194,武汉凡谷,-0.2,观察,watch,-0.8,1.5359721752588757,8.67,-0.8,short
2025-08-29,B,002494,华斯股份,-0.2,观察,watch,-0.8,0.6751692696851944,4.33,-0.8,short
2025-08-29,B,002515,金字火腿,-0.2,观察,watch,-0.8,1.3509087487148563,6.36,-0.8,short
2025-08-29,B,600272,开开实业,-0.2,观察,watch,-0.8,2.512736112816391,10.3,-0.8,short
2025-09-05,B,002124,天邦食品,0.2,观察,watch,1.5,26.86476160793239,2.19,1.5,long
2025-09-05,B,002891,中宠股份,0.2,缩量回踩确认,confirming,1.5,153.86507444007665,32.55,1.5,long
2025-09-05,B,600826,兰生股份,0.2,观察,watch,1.5,107.29942714056673,7.77,1.5,long
2025-09-05,B,600827,百联股份,0.2,观察,watch,1.5,37.94467891610987,8.05,1.5,long
2025-09-05,B,603391,力聚热能,0.2,观察,watch,1.5,151.25730310470018,50.24,1.5,long
2025-09-05,B,002187,广百股份,-0.2,观察,watch,-0.8,0.5171404192059585,5.21,-0.8,short
2025-09-05,B,002194,武汉凡谷,-0.2,观察,watch,-0.8,1.5491840952628169,8.67,-0.8,short
2025-09-05,B,002494,华斯股份,-0.2,观察,watch,-0.8,0.6809768265034282,4.33,-0.8,short
2025-09-05,B,002515,金字火腿,-0.2,观察,watch,-0.8,1.3221529647866253,6.36,-0.8,short
2025-09-05,B,600272,开开实业,-0.2,观察,watch,-0.8,2.5343499135185747,10.3,-0.8,short
2025-09-12,B,002124,天邦食品,0.2,观察,watch,1.5,26.423029784178624,2.19,1.5,long
2025-09-12,B,002891,中宠股份,0.2,缩量回踩确认,confirming,1.5,159.47348844980544,32.55,1.5,long
2025-09-12,B,600826,兰生股份,0.2,观察,watch,1.5,111.6829327553145,7.77,1.5,long
2025-09-12,B,600827,百联股份,0.2,观察,watch,1.5,39.61690282079027,8.05,1.5,long
2025-09-12,B,603391,力聚热能,0.2,观察,watch,1.5,155.13879994558457,50.24,1.5,long
2025-09-12,B,600272,开开实业,-0.2,观察,watch,-0.7998468311836794,2.646024891751759,10.3,-0.7998468311836794,short
2025-09-12,B,002187,广百股份,-0.2,观察,watch,-0.8,0.5139358649655394,5.21,-0.8,short
2025-09-12,B,002194,武汉凡谷,-0.2,观察,watch,-0.8,1.6174483531445991,8.67,-0.8,short
2025-09-12,B,002494,华斯股份,-0.2,观察,watch,-0.8,0.7109839449093728,4.33,-0.8,short
2025-09-12,B,002515,金字火腿,-0.2,观察,watch,-0.8,1.33556986567349,6.36,-0.8,short
2025-09-19,B,002124,天邦食品,0.2,观察,watch,1.5,25.576797665144774,2.19,1.5,long
2025-09-19,B,002891,中宠股份,0.2,缩量回踩确认,confirming,1.5,151.42505792756583,32.55,1.5,long
2025-09-19,B,600826,兰生股份,0.2,观察,watch,1.5,105.90451711785309,7.77,1.5,long
2025-09-19,B,600827,百联股份,0.2,观察,watch,1.5,40.10947464080048,8.05,1.5,long
2025-09-19,B,603391,力聚热能,0.2,观察,watch,1.5,157.8530019368805,50.24,1.5,long
2025-09-19,B,600272,开开实业,-0.2,观察,watch,-0.7953453380352719,2.678929525118291,10.3,-0.7953453380352719,short
2025-09-19,B,002187,广百股份,-0.2,观察,watch,-0.8,0.502472834479854,5.21,-0.8,short
2025-09-19,B,002194,武汉凡谷,-0.2,观察,watch,-0.8,1.6375621235101794,8.67,-0.8,short
2025-09-19,B,002494,华斯股份,-0.2,观察,watch,-0.8,0.7198253543318908,4.33,-0.8,short
2025-09-19,B,002515,金字火腿,-0.2,观察,watch,-0.8,1.2972284968235805,6.36,-0.8,short
2025-09-26,B,002124,天邦食品,0.2,观察,watch,1.5,25.190347450506362,2.19,1.5,long
2025-09-26,B,002891,中宠股份,0.2,缩量回踩确认,confirming,1.5,150.93739608163636,32.55,1.5,long
2025-09-26,B,600826,兰生股份,0.2,观察,watch,1.5,98.13357552739132,7.77,1.5,long
2025-09-26,B,600827,百联股份,0.2,观察,watch,1.5,39.21199820368245,8.05,1.5,long
2025-09-26,B,603391,力聚热能,0.2,观察,watch,1.5,164.84067367700396,50.24,1.5,long
2025-09-26,B,600272,开开实业,-0.2,观察,watch,-0.7937813537184676,2.6189768077754616,10.3,-0.7937813537184676,short
2025-09-26,B,002187,广百股份,-0.2,观察,watch,-0.8,0.46999408875402326,5.21,-0.8,short
2025-09-26,B,002194,武汉凡谷,-0.2,观察,watch,-0.8,1.600914225080317,8.67,-0.8,short
2025-09-26,B,002494,华斯股份,-0.2,观察,watch,-0.8,0.7037159269732916,4.33,-0.8,short
2025-09-26,B,002515,金字火腿,-0.2,观察,watch,-0.8,1.3029804003366348,6.36,-0.8,short
2025-09-30,B,002124,天邦食品,0.2,观察,watch,1.5,25.190077852990843,2.19,1.5,long
