date,variant,symbol,name,weight,state,state_code,upside,fair_price,close,side
2025-10-24,B,601949,中国出版,0.1,观察,watch,1.1207070514773072,14.526843302619554,5.36,long
2025-10-24,B,002946,新乳业,0.1,观察,watch,0.9747563607677683,33.01792635203709,17.8,long
2025-10-24,B,000905.SH,中证500,-1.0,,,,,7258.5343,short_index
2025-10-31,B,002124,天邦食品,0.1,观察,watch,1.5,8.084180190361828,2.19,long
2025-10-31,B,002696,百洋股份,0.1,观察,watch,1.5,22.897344050474974,5.08,long
2025-10-31,B,002891,中宠股份,0.1,缩量回踩确认,confirming,1.5,225.39845210579074,32.55,long
2025-10-31,B,600597,光明乳业,0.1,观察,watch,1.5,23.446272118905465,7.1,long
2025-10-31,B,600826,兰生股份,0.1,观察,watch,1.5,65.49326862412036,7.77,long
2025-10-31,B,603391,力聚热能,0.1,观察,watch,1.5,131.01832350155013,50.24,long
2025-10-31,B,600576,祥源文旅,0.1,观察,watch,1.4242950141338202,17.52765295218752,5.45,long
2025-10-31,B,600600,青岛啤酒,0.1,观察,watch,1.408933394617653,158.29101336032596,57.45,long
2025-10-31,B,000957,中通客车,0.1,观察,watch,1.2160781817145243,26.03891863514566,10.59,long
2025-10-31,B,002946,新乳业,0.1,观察,watch,1.1367827939256512,37.222756270184846,17.8,long
2025-10-31,B,000905.SH,中证500,-1.0,,,,,7331.0031,short_index
2025-11-07,B,002124,天邦食品,0.1,观察,watch,1.5,7.966150703558828,2.19,long
2025-11-07,B,002696,百洋股份,0.1,观察,watch,1.5,22.957345645970932,5.08,long
2025-11-07,B,002891,中宠股份,0.1,缩量回踩确认,confirming,1.5,225.98906434625434,32.55,long
2025-11-07,B,600597,光明乳业,0.1,观察,watch,1.5,23.620232890533043,7.1,long
2025-11-07,B,600826,兰生股份,0.1,观察,watch,1.5,64.62003202939168,7.77,long
2025-11-07,B,600600,青岛啤酒,0.1,观察,watch,1.455954216426686,159.46510727258473,57.45,long
2025-11-07,B,603391,力聚热能,0.1,观察,watch,1.3412747108327858,133.1951182992772,50.24,long
2025-11-07,B,600576,祥源文旅,0.1,观察,watch,1.2562319737606447,16.24487021107664,5.45,long
2025-11-07,B,002946,新乳业,0.1,观察,watch,1.246792925549972,37.498973927429034,17.8,long
2025-11-07,B,000957,中通客车,0.1,观察,watch,1.2382315536778328,26.2320738091042,10.59,long
2025-11-07,B,000905.SH,中证500,-1.0,,,,,7327.9108,short_index
2025-11-14,B,002124,天邦食品,0.1,观察,watch,1.5,8.16116676609745,2.19,long
2025-11-14,B,002696,百洋股份,0.1,观察,watch,1.5,23.339107148353737,5.08,long
2025-11-14,B,002891,中宠股份,0.1,缩量回踩确认,confirming,1.5,229.7473514981245,32.55,long
2025-11-14,B,600597,光明乳业,0.1,观察,watch,1.5,24.198657187993682,7.1,long
2025-11-14,B,600826,兰生股份,0.1,观察,watch,1.5,64.35142716913923,7.77,long
2025-11-14,B,600600,青岛啤酒,0.1,观察,watch,1.46632854325162,163.3696027049873,57.45,long
2025-11-14,B,000957,中通客车,0.1,观察,watch,1.2949877960413407,26.874307091644102,10.59,long
2025-11-14,B,603391,力聚热能,0.1,观察,watch,1.255746766197504,133.72066830018804,50.24,long
2025-11-14,B,600415,小商品城,0.1,观察,watch,1.238556469012722,36.89141060932966,12.86,long
2025-11-14,B,002946,新乳业,0.1,观察,watch,1.16556082859135,38.417049099210544,17.8,long
2025-11-14,B,000905.SH,中证500,-1.0,,,,,7235.4617,short_index
2025-11-21,B,002124,天邦食品,0.1,观察,watch,1.5,7.694079489432781,2.19,long
2025-11-21,B,002696,百洋股份,0.1,观察,watch,1.5,24.389255423494113,5.08,long
2025-11-21,B,002891,中宠股份,0.1,缩量回踩确认,confirming,1.5,240.084823976532,32.55,long
2025-11-21,B,600597,光明乳业,0.1,观察,watch,1.5,22.8136933677341,7.1,long
2025-11-21,B,600826,兰生股份,0.1,观察,watch,1.5,67.97865978676873,7.77,long
2025-11-21,B,600600,青岛啤酒,0.1,观察,watch,1.3882749765836309,154.01985323987833,57.45,long
2025-11-21,B,000957,中通客车,0.1,观察,watch,1.3745304439724175,25.336239837185694,10.59,long
2025-11-21,B,600576,祥源文旅,0.1,观察,watch,1.3668615003975422,17.01773418785833,5.45,long
2025-11-21,B,600415,小商品城,0.1,观察,watch,1.212476479248116,34.780130253780385,12.86,long
2025-11-21,B,605589,圣泉集团,0.1,观察,watch,1.1663587981193766,56.130356459273045,33.16,long
2025-11-21,B,000905.SH,中证500,-1.0,,,,,6817.4103,short_index
2025-11-28,B,002124,天邦食品,0.1,观察,watch,1.5,7.8532005705027546,2.19,long
2025-11-28,B,002696,百洋股份,0.1,观察,watch,1.5,24.104623252877865,5.08,long
2025-11-28,B,002891,中宠股份,0.1,缩量回踩确认,confirming,1.5,237.28285311218175,32.55,long
2025-11-28,B,600597,光明乳业,0.1,观察,watch,1.5,23.28552659866854,7.1,long
2025-11-28,B,600826,兰生股份,0.1,观察,watch,1.5,67.03817298084522,7.77,long
2025-11-28,B,600600,青岛啤酒,0.1,观察,watch,1.4737221522096675,157.20504277292437,57.45,long
2025-11-28,B,000957,中通客车,0.1,观察,watch,1.3768669926474741,25.86031288000452,10.59,long
2025-11-28,B,600576,祥源文旅,0.1,观察,watch,1.2238569522020661,16.43430287677327,5.45,long
2025-11-28,B,605589,圣泉集团,0.1,观察,watch,1.1660206386092549,57.29124589121479,33.16,long
2025-11-28,B,600415,小商品城,0.1,观察,watch,1.1567029027677553,35.49932977955726,12.86,long
2025-11-28,B,000905.SH,中证500,-1.0,,,,,7031.5505,short_index
2025-12-05,B,002124,天邦食品,0.1,观察,watch,1.5,7.66327150566012,2.19,long
2025-12-05,B,002696,百洋股份,0.1,观察,watch,1.5,25.877531129522637,5.08,long
2025-12-05,B,002891,中宠股份,0.1,缩量回踩确认,confirming,1.5,254.73515850932682,32.55,long
2025-12-05,B,600576,祥源文旅,0.1,观察,watch,1.5,16.69019142828808,5.45,long
2025-12-05,B,600597,光明乳业,0.1,观察,watch,1.5,22.7223240552859,7.1,long
2025-12-05,B,600826,兰生股份,0.1,观察,watch,1.5,63.34377230692157,7.77,long
2025-12-05,B,600600,青岛啤酒,0.1,观察,watch,1.4303417723560625,153.40317267111465,57.45,long
2025-12-05,B,000957,中通客车,0.1,观察,watch,1.2899187972057726,25.234905145207613,10.59,long
2025-12-05,B,002946,新乳业,0.1,观察,watch,1.1523540166838075,36.07345331962062,17.8,long
2025-12-05,B,600415,小商品城,0.1,观察,watch,1.117410651552766,34.64083825940325,12.86,long
2025-12-05,B,000905.SH,中证500,-1.0,,,,,7097.8389,short_index
2025-12-12,B,002124,天邦食品,0.1,观察,watch,1.5,7.288576297976569,2.19,long
2025-12-12,B,002696,百洋股份,0.1,观察,watch,1.5,26.99157245973705,5.08,long
2025-12-12,B,002891,中宠股份,0.1,缩量回踩确认,confirming,1.5,265.701726237078,32.55,long
2025-12-12,B,600576,祥源文旅,0.1,观察,watch,1.5,15.905493389204658,5.45,long
2025-12-12,B,600597,光明乳业,0.1,观察,watch,1.5,21.61138930915911,7.1,long
2025-12-12,B,600826,兰生股份,0.1,观察,watch,1.5,61.93322274480364,7.77,long
2025-12-12,B,600600,青岛啤酒,0.1,观察,watch,1.3498647282267098,145.90310097559643,57.45,long
2025-12-12,B,000957,中通客车,0.1,观察,watch,1.1334262902737602,24.001045765579804,10.59,long
2025-12-12,B,600415,小商品城,0.1,观察,watch,1.0275070146895855,32.94698898870576,12.86,long
2025-12-12,B,601949,中国出版,0.1,观察,watch,0.9924600875871821,12.851367564937325,5.36,long
2025-12-12,B,000905.SH,中证500,-1.0,,,,,7169.791,short_index
2025-12-19,B,002124,天邦食品,0.1,观察,watch,1.5,7.386122448979592,2.19,long
2025-12-19,B,002696,百洋股份,0.1,观察,watch,1.5,26.15159665876109,5.08,long
2025-12-19,B,002891,中宠股份,0.1,缩量回踩确认,confirming,1.5,257.4329167323702,32.55,long
2025-12-19,B,600576,祥源文旅,0.1,观察,watch,1.5,16.15796207021046,5.45,long
2025-12-19,B,600597,光明乳业,0.1,观察,watch,1.5,21.54687030648679,7.1,long
2025-12-19,B,600600,青岛啤酒,0.1,观察,watch,1.3282242076962771,145.4674484968634,57.45,long
2025-12-19,B,603391,力聚热能,0.1,观察,watch,1.079373826010411,135.11771121415651,50.24,long
2025-12-19,B,000957,中通客车,0.1,观察,watch,1.0736109364266988,23.9294702063641,10.59,long
2025-12-19,B,600415,小商品城,0.1,观察,watch,0.9740863205983126,32.84879637475592,12.86,long
2025-12-19,B,605589,圣泉集团,0.1,观察,watch,0.970800805495021,53.01454166781606,33.16,long
2025-12-19,B,000905.SH,中证500,-1.0,,,,,7169.5511,short_index
2025-12-26,B,002124,天邦食品,0.1,观察,watch,1.5,7.262920378179344,2.19,long
2025-12-26,B,002696,百洋股份,0.1,观察,watch,1.5,26.013162167496887,5.08,long
2025-12-26,B,002891,中宠股份,0.1,缩量回踩确认,confirming,1.5,256.0700042251071,32.55,long
2025-12-26,B,600597,光明乳业,0.1,观察,watch,1.5,21.53518848016144,7.1,long
2025-12-26,B,600826,兰生股份,0.1,观察,watch,1.5,61.59725721468977,7.77,long
2025-12-26,B,600576,祥源文旅,0.1,观察,watch,1.3737412311651656,15.666692125690092,5.45,long
2025-12-26,B,600600,青岛啤酒,0.1,观察,watch,1.3491523007413257,145.38903589288066,57.45,long
2025-12-26,B,603391,力聚热能,0.1,观察,watch,1.190675593787462,149.79839710318663,50.24,long
2025-12-26,B,000957,中通客车,0.1,观察,watch,1.1259136492876887,23.916528554486497,10.59,long
2025-12-26,B,600415,小商品城,0.1,观察,watch,1.0779165979571443,32.83108224772288,12.86,long
2025-12-26,B,000905.SH,中证500,-1.0,,,,,7458.8386,short_index
2025-12-31,B,002124,天邦食品,0.1,观察,watch,1.5,7.262946147944663,2.19,long
2025-12-31,B,002696,百洋股份,0.1,观察,watch,1.5,26.377201879493057,5.08,long
2025-12-31,B,002891,中宠股份,0.1,缩量回踩确认,confirming,1.5,259.65365770408795,32.55,long
2025-12-31,B,600597,光明乳业,0.1,观察,watch,1.5,21.535248749572833,7.1,long
2025-12-31,B,600826,兰生股份,0.1,观察,watch,1.5,62.873487186476645,7.77,long
2025-12-31,B,600576,祥源文旅,0.1,观察,watch,1.4685881037540907,15.403989767425527,5.45,long
2025-12-31,B,600600,青岛啤酒,0.1,观察,watch,1.3756342081478068,145.3888135386458,57.45,long
2025-12-31,B,603391,力聚热能,0.1,观察,watch,1.2294305212539816,145.96081622649817,50.24,long
2025-12-31,B,000957,中通客车,0.1,观察,watch,1.0942597507980039,23.916446354113205,10.59,long
2025-12-31,B,600415,小商品城,0.1,观察,watch,1.0583693667723648,32.830991400019215,12.86,long
2025-12-31,B,000905.SH,中证500,-1.0,,,,,7465.5742,short_index
2026-01-09,B,002124,天邦食品,0.1,观察,watch,1.5,7.8532212176305825,2.19,long
2026-01-09,B,002696,百洋股份,0.1,观察,watch,1.5,27.08047979858819,5.08,long
2026-01-09,B,002891,中宠股份,0.1,缩量回踩确认,confirming,1.5,266.57532727151727,32.55,long
2026-01-09,B,600597,光明乳业,0.1,观察,watch,1.5,23.285432424617163,7.1,long
2026-01-09,B,600600,青岛啤酒,0.1,观察,watch,1.5,157.2049643346377,57.45,long
2026-01-09,B,600826,兰生股份,0.1,观察,watch,1.5,69.72519088695763,7.77,long
2026-01-09,B,600576,祥源文旅,0.1,观察,watch,1.3244033189351199,15.410794004539845,5.45,long
2026-01-09,B,000957,中通客车,0.1,观察,watch,1.270438895287573,25.860299017325456,10.59,long
2026-01-09,B,603391,力聚热能,0.1,观察,watch,1.242224226759415,145.54277455895362,50.24,long
2026-01-09,B,600415,小商品城,0.1,观察,watch,1.1540854475113456,35.49932817498698,12.86,long
2026-01-09,B,000905.SH,中证500,-1.0,,,,,8056.6858,short_index
2026-01-16,B,002124,天邦食品,0.1,观察,watch,1.5,8.012321920775545,2.19,long
2026-01-16,B,002696,百洋股份,0.1,观察,watch,1.5,25.939707618318945,5.08,long
2026-01-16,B,002891,中宠股份,0.1,缩量回踩确认,confirming,1.5,255.34583925629298,32.55,long
2026-01-16,B,600597,光明乳业,0.1,观察,watch,1.5,22.538878557898258,7.1,long
2026-01-16,B,600826,兰生股份,0.1,观察,watch,1.5,69.79230283911673,7.77,long
2026-01-16,B,600576,祥源文旅,0.1,观察,watch,1.4938064006680736,16.03517515629571,5.45,long
