date,variant,period_return,ret_4w,icir_4w,vol_4w,ret_8w,icir_8w,vol_8w,ret_12w,icir_12w,vol_12w
2026-06-12,M+,0.03586240416983433,-0.17221608704047875,-0.5946101623341616,0.07240714082502343,-0.22715170984088284,-0.47847524339167724,0.0593425973909108,-0.35666977807021283,-0.4992329407873072,0.05953629874458547
2026-06-18,M+,0.00448282141366918,-0.0965456917365306,-0.3007847223324515,0.08024484337823226,-0.14985727230489743,-0.2990719350033376,0.06263429244172687,-0.30441338716361954,-0.4078204706880771,0.06220330779579135
2026-06-26,M+,0.017997498915528043,-0.08619462284001822,-0.2661774144580481,0.08095598852321413,-0.09316110540692801,-0.18890729903968723,0.061644723285252695,-0.3114299680222691,-0.4193585585710612,0.06188617545715687
2026-07-03,M+,0.027429728413375765,-0.1017788703811412,-0.32393743556888527,0.07854824667176968,-0.07166845650433928,-0.14355505929756834,0.062405024990952435,-0.15919240330737416,-0.2483763817639301,0.05341101080036096
2026-07-10,M+,-0.026000379241424065,0.08577245291240732,1.8399510445848002,0.011654175958219931,-0.08644363412807143,-0.17694190803221846,0.06106780686484639,-0.14137925692847553,-0.21710430043650514,0.054267026126851435
2026-07-17,M+,-0.013436349466038444,0.023909669501148922,0.2961534214333593,0.020183516186836538,-0.07263602223538168,-0.15028468121214725,0.06041535774764534,-0.1259476028037485,-0.19534268906954447,0.05372933902452046
2026-07-24,M+,-0.0004053868723438159,0.005990498621441298,0.06828787118241975,0.021931049093032468,-0.08020412421857692,-0.16593887079007605,0.060416920276654615,-0.08717060678548672,-0.1389764885290594,0.05226939685272719
2026-07-31,M+,-0.030821400282815326,-0.01241238716643056,-0.15660063888957287,0.0198153520548265,-0.11419125754757176,-0.24457889425110607,0.05836115678400128,-0.08408084367076984,-0.1339850069756937,0.05229493307288665
2026-08-07,M+,,-0.07066351586262165,-1.4952502199444555,0.011814664014101701,0.015108937049785665,0.08281486087407933,0.022805292568140227,-0.15710714999069308,-0.25961321796157033,0.050429876421632845
2025-06-06,M-,-0.013909567876645434,,,,,,,,,
2025-06-13,M-,0.01286767717434567,,,,,,,,,
2025-06-20,M-,0.07211448084670202,-0.0010418907022997637,-0.03890955549444024,0.013388622525495553,,,,,,
2025-06-27,M-,0.056385004986993614,0.07107259014440226,0.65911611181245,0.035943383808843384,,,,,,
2025-07-04,M-,0.008230422309792651,0.12745759513139587,0.931817046549517,0.03419598181943722,0.12745759513139587,0.931817046549517,0.03419598181943722,,,
2025-07-11,M-,-0.01922032880125235,0.14959758531783396,1.3615036252649624,0.027469186005421167,0.13568801744118852,0.8476931790368071,0.03201347393059462,,,
