date,track,equity,cash,holding,holding_name,shares,target,target_name,target_strength,action,reason,switched,rebalance,day_return
2026-04-17,1,79997.92,2188.92,000933,神火股份,2300,600961,株冶集团,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.018068018232987093
2026-04-20,1,77605.92,2188.92,000933,神火股份,2300,600961,株冶集团,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.02990077742021291
2026-04-21,1,76800.92,2188.92,000933,神火股份,2300,600961,株冶集团,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.010372920004040886
2026-04-22,1,76373.75,505.75,600961,株冶集团,2600,600961,株冶集团,100,switch,,True,True,-0.005562042746362961
2026-04-23,1,76238.49,908.49,600989,宝丰能源,2700,600989,宝丰能源,88,switch,,True,True,-0.001771027349056431
2026-04-24,1,79041.35,469.35,600961,株冶集团,2600,600961,株冶集团,100,switch,,True,True,0.03676436928380933
2026-04-27,1,75942.2,282.2,600993,马应龙,3000,600993,马应龙,100,switch,,True,True,-0.03920922403273741
2026-04-28,1,75679.91,2647.91,600989,宝丰能源,2400,600989,宝丰能源,100,switch,,True,True,-0.0034538109246241566
2026-04-29,1,76006.37,56.37,002345,潮宏基,7000,002345,潮宏基,100,switch,,True,True,0.004313694347680697
2026-04-30,1,71308.2,928.2,600661,昂立教育,6900,600661,昂立教育,61,switch,,True,True,-0.06181284542335064
2026-05-06,1,71368.5,413.5,601168,西部矿业,2300,601168,西部矿业,90,switch,,True,True,0.0008456250473298788
2026-05-07,1,72807.31,2103.31,600961,株冶集团,2400,600961,株冶集团,100,switch,,True,True,0.020160294807933354
2026-05-08,1,73736.55,2456.55,601168,西部矿业,2200,601168,西部矿业,100,switch,,True,True,0.01276300415439069
2026-05-11,1,73284.54,2332.54,600993,马应龙,2800,600993,马应龙,92,switch,,True,True,-0.006130067110544313
2026-05-12,1,73597.46,227.46,601168,西部矿业,2200,601168,西部矿业,100,switch,,True,True,0.0042699319665513435
2026-05-13,1,73956.36,476.36,600131,国网信通,4000,600131,国网信通,66,switch,,True,True,0.004876526988838892
2026-05-14,1,71558.55,1937.55,600961,株冶集团,2300,600961,株冶集团,100,switch,,True,True,-0.03242195803038439
2026-05-15,1,69161.12,527.12,002170,芭田股份,5400,002170,芭田股份,88,switch,,True,True,-0.03350305449174151
2026-05-18,1,67359.77,1280.77,600989,宝丰能源,2300,600989,宝丰能源,100,switch,,True,True,-0.02604570313494048
2026-05-19,1,64713.79,795.79,002345,潮宏基,6700,002345,潮宏基,100,switch,,True,True,-0.03928130989758427
2026-05-20,1,64108.41,1843.41,002128,电投能源,2100,002128,电投能源,88,switch,,True,True,-0.009354729494285507
2026-05-21,1,62907.02,1293.02,000933,神火股份,2100,000933,神火股份,83,switch,,True,True,-0.01873997498924096
2026-05-22,1,64244.54,684.54,601168,西部矿业,2000,601168,西部矿业,100,switch,,True,True,0.0212618559899993
2026-05-25,1,65313.4,729.4,600131,国网信通,3600,600131,国网信通,76,switch,,True,True,0.01663736715991737
2026-05-26,1,63516.32,856.32,000933,神火股份,2000,000933,神火股份,100,switch,,True,True,-0.027514721328242064
2026-05-27,1,60390.96,1470.96,600989,宝丰能源,2400,600989,宝丰能源,64,switch,,True,True,-0.049205621484368134
2026-05-28,1,60206.25,1318.25,600131,国网信通,3400,600131,国网信通,80,switch,,True,True,-0.003058570355563117
2026-05-29,1,60311.37,1506.37,002128,电投能源,1900,002128,电投能源,100,switch,,True,True,0.0017459981314231765
2026-06-01,1,62600.29,2100.29,000933,神火股份,2000,000933,神火股份,100,switch,,True,True,0.03795171623526383
2026-06-02,1,63792.13,1301.13,601168,西部矿业,1900,601168,西部矿业,100,switch,,True,True,0.019038889436454598
2026-06-03,1,63325.04,1925.04,600989,宝丰能源,2500,600989,宝丰能源,69,switch,,True,True,-0.007322063082076058
2026-06-04,1,59810.96,753.96,600661,昂立教育,7300,600661,昂立教育,47,switch,,True,True,-0.05549274031252094
2026-06-05,1,60548.58,2248.58,600993,马应龙,2500,600993,马应龙,100,switch,,True,True,0.012332522333699414
2026-06-08,1,59035.7,1035.7,600989,宝丰能源,2500,600989,宝丰能源,100,switch,,True,True,-0.024986217678432787
2026-06-09,1,56874.81,2964.81,601168,西部矿业,1800,601168,西部矿业,72,switch,,True,True,-0.036603106256045015
2026-06-10,1,56365.23,325.23,002128,电投能源,2000,002128,电投能源,93,switch,,True,True,-0.008959678282881245
2026-06-11,1,57322.55,554.55,002345,潮宏基,6400,002345,潮宏基,100,switch,,True,True,0.016984229462028377
2026-06-12,1,63018.55,554.55,002345,潮宏基,6400,002345,潮宏基,100,hold,目标未变,False,True,0.0993675263923186
2026-06-15,1,64420.69,2024.69,601168,西部矿业,1900,601168,西部矿业,100,switch,,True,True,0.02224963919353895
2026-06-16,1,60726.75,974.75,600961,株冶集团,2200,600961,株冶集团,100,switch,,True,True,-0.057340894672193055
2026-06-17,1,59650.75,2986.75,601168,西部矿业,1800,601168,西部矿业,72,switch,,True,True,-0.017718715393133966
2026-06-18,1,60073.74,2433.74,600961,株冶集团,2000,600961,株冶集团,100,switch,,True,True,0.007091109499880455
2026-06-22,1,65763.62,1088.62,002128,电投能源,2500,002128,电投能源,100,switch,,True,True,0.0947149286859783
2026-06-23,1,62920.41,631.41,600661,昂立教育,8100,600661,昂立教育,100,switch,,True,True,-0.043233781838651675
2026-06-24,1,60263.2,2073.2,002128,电投能源,2300,002128,电投能源,100,switch,,True,True,-0.04223128870266435
