rank,asof,symbol,stock_name,upside,upside_raw,fair_price,close,pe_ttm,pe_ref,industry,undervalued
64,2026-08-07,002696,百洋股份,-0.1546430653264096,-0.1546430653264096,4.632556002011276,5.48,112.3665,94.9898,饲料,False
65,2026-08-07,600783,鲁信创投,-0.1567647677439672,-0.1567647677439672,15.557690035123805,18.45,82.2519,69.3577,专用机械,False
66,2026-08-07,000060,中金岭南,-0.19071577294603537,-0.19071577294603537,5.511225586237499,6.81,29.297,23.709600000000002,铅锌,False
67,2026-08-07,603020,爱普股份,-0.19269168724816288,-0.19269168724816288,8.08115621064589,10.01,42.9593,34.6814,食品,False
68,2026-08-07,001215,千味央厨,-0.30343528315377644,-0.30343528315377644,23.105051657789236,33.17,49.7892,34.6814,食品,False
69,2026-08-07,600186,莲花控股,-0.3122563347994559,-0.3122563347994559,6.801784848833381,9.89,50.4278,34.6814,食品,False
70,2026-08-07,001896,豫能控股,-0.31931118693665017,-0.31931118693665017,9.339050515229161,13.72,55.7713,37.9629,火力发电,False
71,2026-08-07,002649,博彦科技,-0.3422939030519342,-0.3422939030519342,7.011146993466381,10.66,143.0601,94.0915,软件服务,False
72,2026-08-07,002294,信立泰,-0.36066898959398175,-0.36066898959398175,23.03509630492884,36.03,59.3791,37.9629,化学制药,False
73,2026-08-07,600392,盛和资源,-0.3758550159349284,-0.3758550159349284,14.942030918517814,23.94,42.046,26.2428,小金属,False
74,2026-08-07,600883,博闻科技,-0.39352126986561353,-0.39352126986561353,4.524331326802523,7.46,62.5956,37.9629,种植业,False
75,2026-08-07,002494,华斯股份,-0.3994960328005771,-0.3994960328005771,2.780333368133328,4.63,63.2184,37.9629,服饰,False
76,2026-08-07,002973,侨银股份,-0.4003620201913629,-0.4003620201913629,6.727938133452908,11.22,30.3298,18.1869,环境保护,False
77,2026-08-07,000601,韶能股份,-0.46347120052574675,-0.46347120052574675,3.5518206525195564,6.62,70.7565,37.9629,水力发电,False
78,2026-08-07,002212,天融信,-0.5088147270752104,-0.5088147270752104,3.3400598558885695,6.8,191.5601,94.0915,软件服务,False
79,2026-08-07,002695,煌上煌,-0.5241986267071841,-0.5241986267071841,5.133896817829482,10.79,72.8905,34.6814,食品,False
80,2026-08-07,600596,新安股份,-0.5306956268492293,-0.5306956268492293,5.190506367047523,11.06,71.0769,33.356700000000004,化工原料,False
81,2026-08-07,603721,中广天择,-0.5485299206895691,-0.5485299206895691,7.945873395863585,17.6,84.0873,37.9629,影视音像,False
82,2026-08-07,002132,恒星科技,-0.5490742236497017,-0.5490742236497017,1.8893790029077502,4.19,84.1888,37.9629,钢加工,False
83,2026-08-07,600857,宁波中百,-0.5577589551047797,-0.5577589551047797,7.894002651379684,17.85,85.8421,37.9629,百货,False
84,2026-08-07,000688,国城矿业,-0.5616841521467856,-0.5616841521467856,13.73681867171974,31.34,54.0925,23.709600000000002,铅锌,False
85,2026-08-07,603000,人民网,-0.5726730561639432,-0.5726730561639432,7.3072907395965725,17.1,99.2149,42.3972,互联网,False
86,2026-08-07,600667,太极实业,-0.5731436088872899,-0.5731436088872899,8.33650531843123,19.53,88.936,37.9629,半导体,False
87,2026-08-07,600113,浙江东日,-0.5975756740569562,-0.5975756740569562,12.668317780687017,31.48,94.3355,37.9629,区域地产,False
88,2026-08-07,003037,三和管桩,-0.6142828403521179,-0.6142828403521179,2.1985878099929286,5.7,98.4216,37.9629,水泥,False
89,2026-08-07,603757,大元泵业,-0.6338818578015495,-0.6338818578015495,23.801340424321275,65.01,103.6903,37.9629,机械基件,False
90,2026-08-07,002653,海思科,-0.6366018164692189,-0.6366018164692189,26.019309940803932,71.6,104.4664,37.9629,化学制药,False
91,2026-08-07,002686,亿利达,-0.6369356900492164,-0.6369356900492164,2.301827725087968,6.34,191.0342,69.3577,专用机械,False
92,2026-08-07,002552,宝鼎科技,-0.6457818981878034,-0.6457818981878034,16.86078164626056,47.6,107.1738,37.9629,元器件,False
93,2026-08-07,002364,中恒电气,-0.6571104988399072,-0.6571104988399072,13.743011206496519,40.08,172.4,59.11415,电气设备,False
94,2026-08-07,603206,嘉环科技,-0.6670110914728546,-0.6670110914728546,4.891607066263765,14.69,114.0065,37.9629,通信设备,False
95,2026-08-07,603685,晨丰科技,-0.6834783665610419,-0.6834783665610419,8.61888407854283,27.23,186.7618,59.11415,电气设备,False
96,2026-08-07,600749,西藏旅游,-0.7011750793584692,-0.7011750793584692,4.350890844540689,14.56,266.5437,79.6499,旅游景点,False
97,2026-08-07,000628,高新发展,-0.7216977602682921,-0.7216977602682921,10.856570371933925,39.01,126.9661,35.33495,建筑工程,False
98,2026-08-07,001258,立新能源,-0.7414200113919794,-0.776006255712933,2.9477576748178014,13.16,121.8726,27.2987,新型电力,False
99,2026-08-07,002149,西部材料,-0.7414200113919794,-0.8898548413159767,4.322096026761075,39.24,238.2565,26.2428,小金属,False
100,2026-08-07,600272,开开实业,-0.7414200113919794,-0.7436113726279447,3.325360497015556,12.97,148.0678,37.9629,医药商业,False
101,2026-08-07,600869,远东股份,-0.7414200113919794,-0.819401613937025,2.9184699187776753,16.16,327.3238,59.11415,电气设备,False
102,2026-08-07,601956,东贝集团,-0.7414200113919794,-0.8246162503083765,0.8523650235012903,4.86,216.4562,37.9629,家用电器,False
103,2026-08-07,603375,盛景微,-0.7414200113919794,-0.9152394937710475,3.175128563336558,37.46,447.8843,37.9629,半导体,False
