排名,股票代码,股票名称,综合评分,当前价格,ROC_20,RSI_14,MACD_Hist,成交量比率,均线趋势,波动率,交易日
63,002050,002050,57.60554851052126,45.54,-2.421255624598251,49.157839402247234,0.7343515254162056,1.2455186323118983,3.9322637332542305,3.222753505804019,2026-04-14
64,600219,600219,57.48400155358758,6.38,-10.769230769230775,51.06070230757679,0.13334900182347076,1.3007346779616236,3.319838056680208,4.59373298109041,2026-04-14
65,688300,688300,57.36165467058223,95.25,1.8498716852010322,64.24958869793983,0.4908812219035541,0.8834388251957609,8.647298360880168,5.835612328230487,2026-04-14
66,600757,600757,57.24341385757283,9.0,-2.2801302931596212,51.04561778003009,0.04988655306892393,1.0215162851478248,1.095197978096042,2.166038804806305,2026-04-14
67,301269,301269,56.72658112503346,86.36,-9.07559486207623,45.37537648092771,1.4598422836220086,1.354468763146074,2.512360004035905,2.8251199702022904,2026-04-14
68,300433,300433,56.663965725611455,30.15,-3.3344020519397333,49.33885522333634,0.6000218465232181,1.2530976821631317,3.7116026280485728,3.8552166747425667,2026-04-14
69,603025,603025,56.66001812616627,14.53,-9.357454772301942,44.810470474590375,0.20744483212912745,1.7425156891084796,1.2367183417523222,2.8228089691170464,2026-04-14
70,300832,300832,56.42101604570321,46.59,-10.057915057915046,40.09689703430715,-0.1488609555954017,3.0042244620496374,-4.251055827861524,3.339483180566781,2026-04-14
71,688608,688608,56.39737350114403,170.08,-5.321754620351804,43.64726843406146,2.7899207061760247,1.004587851976244,1.5381768142157939,4.325515660866803,2026-04-14
72,002550,002550,56.10003343905018,7.82,3.302509907529716,53.601518879916995,0.04403674926890773,0.9595806903862298,3.302509907529759,3.4344684941404116,2026-04-14
73,002001,002001,55.90786456729859,38.17,2.332439678284204,65.484931268883,0.3338909868478639,0.6845743796357734,7.451510289108438,4.507931336596123,2026-04-14
74,002611,002611,55.89733344485712,17.58,3.9621525724423234,51.33779319506634,0.02756976880910492,0.8603267556799219,1.8362972832068596,3.070126691392712,2026-04-14
75,600835,600835,55.76838881472752,22.98,-5.119735755573895,46.51393594195159,0.45762071743672683,1.27784344306055,3.441290990524625,3.8028320298409866,2026-04-14
76,600660,600660,55.76835647094769,58.57,-0.6446140797285893,51.28265536955829,0.3558211302335881,0.9372776670675356,2.122836842334674,2.0919307629528268,2026-04-14
77,002294,002294,55.694977000369136,62.2,12.375790424570908,56.94640291570497,-0.87028363634911,0.956028747949689,1.6298353825415546,4.776762245513994,2026-04-14
78,600486,600486,55.61223594066086,79.05,-0.9025949605114714,54.64139479646525,1.3412649368238412,0.7845263641484899,4.192066640744995,4.74308087022551,2026-04-14
79,600007,600007,55.56399894542335,21.25,4.886475814412639,58.74599008128734,0.06123393027770463,0.6211084247335129,2.510914397356399,1.9320091169289917,2026-04-14
80,688631,688631,55.54366667636717,55.0,-15.084143893777979,43.788138242314645,1.0143391256008698,1.858420448133078,0.4823151125401852,4.281273147807493,2026-04-14
81,600563,600563,55.52661311677963,126.27,6.637952875601716,54.21763637171828,-1.4944836322667103,1.0776553614223257,0.934444968465443,4.652444689084003,2026-04-14
82,603288,603288,55.45255790717678,40.77,5.8686055569981965,61.51937738123488,-0.07039904381278395,0.6909015844685448,2.6809887798919236,2.345192929513165,2026-04-14
83,300012,300012,55.43251236011987,15.5,1.108936725375087,57.493526465961644,0.26838532495176376,0.6224965736908393,5.79843691341593,3.2227062998543032,2026-04-14
84,300573,300573,55.43243669382334,68.4,-2.5779803446802307,52.1364757118277,0.6225921783590012,0.8613638623907377,2.2589663472319743,2.7729318794051636,2026-04-14
85,300820,300820,55.42436808974974,47.06,-7.3622047244094375,44.44389498792914,0.8276750742064349,1.3342087723696239,1.702973720608599,3.321871573137046,2026-04-14
86,603279,603279,55.37585171720554,18.2,1.2799109627156469,54.986687599107086,0.459741588544642,0.697753920306028,5.433901054339048,3.930635288151147,2026-04-14
87,600845,600845,55.325161099508016,22.78,1.7418490397498987,50.073590894765395,0.19094907967047636,0.9496279586602201,2.244165170556553,3.841707421433215,2026-04-14
88,300223,300223,55.07829898292592,116.34,-10.438799076212469,49.141261349843454,1.3455556162844413,1.2420931976428364,3.176714734209579,5.344881104215625,2026-04-14
89,002064,002064,54.86606804042641,10.86,3.1339031339031376,47.831963959888554,0.2961535570297501,1.0831323258203447,4.327777510927535,4.578653160803701,2026-04-14
90,301207,301207,54.6581069233338,20.03,2.4028629856850836,51.534959878009076,0.13102185484251833,0.7093265055971488,3.019081417476725,2.9139024272210725,2026-04-14
91,001914,001914,54.633482571699616,9.9,-4.624277456647407,44.423398340293794,0.09657125344489781,1.2531148276342263,0.5280259951258736,2.740772892736336,2026-04-14
92,002422,002422,54.62591082048409,34.29,5.022970903522217,53.8483803079223,-0.28086032510744174,0.831425549097323,0.26755559454360966,3.8391862966230823,2026-04-14
93,000895,000895,54.61291214265548,28.41,-0.31578947368421373,59.007406635856874,-0.09526415173050112,0.9027810597603189,1.3520744889586578,2.2177012902754987,2026-04-14
94,000786,000786,54.564975998321295,25.5,-2.5974025974025983,43.147818390147904,0.19235709067472784,1.4278195035949057,-0.9208532462991507,3.390394872890403,2026-04-14
95,000650,000650,54.53668567607293,5.83,-1.6863406408094361,51.22882876839976,0.030727118856270788,0.9674994303529634,1.303214596003494,2.015143685796191,2026-04-14
96,002128,002128,54.183661620772455,31.58,-4.012158054711246,57.4539335445306,0.3361318483325457,0.8659625987542988,3.052750085659759,3.8594718832033457,2026-04-14
97,002216,002216,54.0739573137749,12.63,2.267206477732797,58.11677099802735,0.05549183263056092,0.7427082797488327,1.8671613501633302,2.8347476022346294,2026-04-14
98,601633,601633,53.624192286363645,21.21,0.28368794326241176,54.51742254723821,0.010846827555933997,0.735087759899997,1.4905375983922575,2.083118702248092,2026-04-14
99,688187,688187,53.595858548914194,51.08,-8.162531463502331,40.70967391638296,0.43268405746904515,1.2224385281984254,-0.9568867732459176,2.923835174011951,2026-04-14
100,000975,000975,53.413491915200574,30.4,-0.5886200130804431,51.750370851708894,0.4872352959687103,0.6032161068248347,3.138252756573382,5.122474913055462,2026-04-14
101,002028,002028,53.38958677555217,206.01,-1.3362068965517393,46.82525267265431,1.0950204666316266,1.0972223793903042,-0.6390623869583669,4.319887387272341,2026-04-14
102,601600,601600,53.322338763280435,12.46,-7.976366322008854,53.050795701886976,0.32196315682546095,0.8093984366748318,5.232042565769982,4.78138723186315,2026-04-14
103,002668,002668,53.01784260724596,9.19,-2.1299254526091715,47.114440338658056,0.10044956620454193,1.0422602822736295,1.6087124771960484,2.294692136657783,2026-04-14
