date,track,equity,cash,holding,holding_name,shares,target,target_name,target_strength,action,reason,switched,rebalance,day_return
2026-03-23,1,93510.54,150.54,600989,宝丰能源,3000,600989,宝丰能源,100,switch,,True,True,-0.045230452837505375
2026-03-24,1,91250.79,1930.79,601168,西部矿业,3500,601168,西部矿业,70,switch,,True,True,-0.024165725061581322
2026-03-25,1,94225.79,1930.79,601168,西部矿业,3500,601168,西部矿业,74,hold,目标未变,False,True,0.03260245746913526
2026-03-26,1,89439.12,841.12,000933,神火股份,3100,000933,神火股份,71,switch,,True,True,-0.050799998599109664
2026-03-27,1,92942.12,841.12,000933,神火股份,3100,000933,神火股份,100,hold,目标未变,False,True,0.03916630664523524
2026-03-30,1,96786.12,841.12,000933,神火股份,3100,000933,神火股份,100,hold,目标未变,False,True,0.04135907379775716
2026-03-31,1,93677.12,1510.12,600961,株冶集团,5300,600961,株冶集团,68,switch,,True,True,-0.032122374571891044
2026-04-01,1,95428.7,1396.7,601168,西部矿业,3600,601168,西部矿业,93,switch,,True,True,0.01869805561913096
2026-04-02,1,92915.75,755.75,000933,神火股份,3000,000933,神火股份,100,switch,,True,True,-0.02633327290427301
2026-04-03,1,90477.06,1027.06,600131,国网信通,5000,600131,国网信通,77,switch,,True,True,-0.026246249963004176
2026-04-07,1,89280.23,2116.23,000933,神火股份,2800,000933,神火股份,100,switch,,True,True,-0.013227993924647907
2026-04-08,1,95057.6,1081.6,601168,西部矿业,3400,601168,西部矿业,100,switch,,True,True,0.06471051877890566
2026-04-09,1,93290.18,1386.18,600989,宝丰能源,3200,600989,宝丰能源,100,switch,,True,True,-0.01859314773358478
2026-04-10,1,93988.35,1738.35,600131,国网信通,5000,600131,国网信通,68,switch,,True,True,0.007483853070066049
2026-04-13,1,91439.24,539.24,600961,株冶集团,5000,600961,株冶集团,81,switch,,True,True,-0.027121552830749796
2026-04-14,1,92338.27,862.27,000933,神火股份,2700,000933,神火股份,96,switch,,True,True,0.009831993354275426
2026-04-15,1,89486.61,551.61,600131,国网信通,4900,600131,国网信通,85,switch,,True,True,-0.030882753163991472
2026-04-16,1,89585.46,3410.46,000933,神火股份,2500,000933,神火股份,100,switch,,True,True,0.0011046345369436494
2026-04-17,1,87985.46,3410.46,000933,神火股份,2500,600961,株冶集团,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.017860041127209736
2026-04-20,1,85385.46,3410.46,000933,神火股份,2500,600961,株冶集团,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.029550337067056343
2026-04-21,1,84510.46,3410.46,000933,神火股份,2500,600961,株冶集团,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.010247646379137665
2026-04-22,1,84046.37,2342.37,600961,株冶集团,2800,600961,株冶集团,100,switch,,True,True,-0.005491509571714737
2026-04-23,1,83899.94,199.94,600989,宝丰能源,3000,600989,宝丰能源,88,switch,,True,True,-0.0017422525208404815
2026-04-24,1,87015.03,2399.03,600961,株冶集团,2800,600961,株冶集团,100,switch,,True,True,0.037128632034778564
2026-04-27,1,83677.44,2029.44,600989,宝丰能源,2800,600989,宝丰能源,61,switch,,True,True,-0.03835647703620848
2026-04-28,1,87233.44,2029.44,600989,宝丰能源,2800,600989,宝丰能源,100,hold,目标未变,False,True,0.04249651997001824
2026-04-29,1,87615.46,2831.46,601168,西部矿业,2800,601168,西部矿业,100,switch,,True,True,0.004379283907639087
2026-04-30,1,85423.78,323.78,600131,国网信通,5000,600131,国网信通,35,switch,,True,True,-0.025014763376235316
2026-05-06,1,87627.95,1247.95,601168,西部矿业,2800,601168,西部矿业,90,switch,,True,True,0.025802768268976095
2026-05-07,1,89378.85,998.85,600961,株冶集团,3000,600961,株冶集团,100,switch,,True,True,0.019981067684454734
2026-05-08,1,90540.89,3060.89,601168,西部矿业,2700,601168,西部矿业,100,switch,,True,True,0.013001286098444975
2026-05-11,1,89985.53,833.53,600989,宝丰能源,3200,600989,宝丰能源,76,switch,,True,True,-0.006133803191022302
2026-05-12,1,89216.73,2506.73,601168,西部矿业,2600,601168,西部矿业,100,switch,,True,True,-0.008543595842576024
2026-05-13,1,89640.5,1464.5,600131,国网信通,4800,600131,国网信通,66,switch,,True,True,0.004749893882010747
2026-05-14,1,86762.76,2006.76,600961,株冶集团,2800,600961,株冶集团,100,switch,,True,True,-0.0321031230303267
2026-05-15,1,83844.85,2644.85,600989,宝丰能源,2900,600989,宝丰能源,67,switch,,True,True,-0.03363090339680286
2026-05-18,1,85961.85,2644.85,600989,宝丰能源,2900,600989,宝丰能源,100,hold,目标未变,False,True,0.0252490164869994
2026-05-19,1,82625.04,81.04,600131,国网信通,4400,600131,国网信通,100,switch,,True,True,-0.038817335829789745
2026-05-20,1,80512.89,1402.89,000933,神火股份,2700,000933,神火股份,75,switch,,True,True,-0.02556307385751333
2026-05-21,1,80620.89,1402.89,000933,神火股份,2700,000933,神火股份,83,hold,目标未变,False,True,0.0013414001161802247
2026-05-22,1,82341.23,2891.23,601168,西部矿业,2500,601168,西部矿业,100,switch,,True,True,0.02133863816189563
2026-05-25,1,83676.77,1152.77,600131,国网信通,4600,600131,国网信通,76,switch,,True,True,0.01621957796841267
2026-05-26,1,81381.02,3056.02,000933,神火股份,2500,000933,神火股份,100,switch,,True,True,-0.027435929948060878
